descricao,departamento
"PASTA INT VITAPOWER 1,005KG AMEND/SHOT",MERCEARIA DOCE
ESPONJA BETTANIN BRILHUS C/1,CUIDADOS COM A COZINHA
AGUA MIN SCHIN S/GAS 500ML,BEBIDAS NÃO ALCOÓLICAS
FITA DUPLA FACE C/SUPORTE SCOTCH,PAPELARIA
MASSA PIZZA ROMANHA OREGANO PCT 160G,MASSAS FRESCAS
BISC LANCH BAUDUCCO RECHEADINHO CHOCOLATE 104G,MERCEARIA DOCE
VINHO FRANCES CHEVALIER CHABLIS BCO 750ML,BEBIDAS ALCOÓLICAS
DES ROLL REXONA INVISIBLE 50ML,CUIDADOS COM O CORPO
"SORVETE NOBRELLI 1,5L PT FLOCOS",CONGELADOS DOCES
NOZ MOSCADA KONSABOR 10G,MERCEARIA SALGADA
T.IMEDIA EXCELL KIT GTS CO.ELSEVE 7.1 LOUR.ACZ.,CUIDADOS COM O CABELO
SALGADINHO BATATA TONYS 160G CEBOLA,MERCEARIA DOCE
SUCO CONC SERIGY CAJU 500ML,BEBIDAS NÃO ALCOÓLICAS
FACA DE SASHIMI (AO INOXIDVEL -DAISO,UTILIDADES DE COZINHA
CERVEJA TUPINIQUIM PREMIUM LAG GFA 600ML,BEBIDAS ALCOÓLICAS
SUCO SUVALAN 100% UVA 1L,BEBIDAS NÃO ALCOÓLICAS
VINHO FRANCES D GILLIERES MUSCADET BCO 750ML,BEBIDAS ALCOÓLICAS
REFRIG XERETA MACA PET 350ML,BEBIDAS NÃO ALCOÓLICAS
TIRA MANCHA PO INOVE BLANC CLASS 450G,CUIDADOS COM A ROUPA
PIPOCA PRON DOCE TUICK 50G,MERCEARIA DOCE
"COMBO MONTAIN DEW 1,5L-PET LV2PG1",BEBIDAS NÃO ALCOÓLICAS
BISTECA BOV HEREFORD EG KG,AÇOUGUE
MAC LA VENEZIANE 200G RIGATONI S/GLUTEN,MERCEARIA SALGADA
"CAFE CAPITAL 500G, TRADICIONAL PURO",MERCEARIA DOCE
SANDALIA HAVAIANAS TOP DISNEY AMAR BANANA 35/36,CALÇADO
LAVA ROUPA LIQ BRILHANTE 1L,CUIDADOS COM A ROUPA
BISC BAUDUCCO WAFER 78G BRIGADEIRO,MERCEARIA DOCE
EVAP LIB LG 9000 QF DUAL INV 220V,ELETRO
"ALIM P GATOS MAGNUS CAT 1KG, MIX",PET SHOP
REQUEIJAO CREM.ITAMBE ERVAS FINAS 220GR,GORDUROSOS
FARINHA MANDIOCA MONSIL 1KG,MERCEARIA DOCE
PASCOA OVO NESTLE SOLLYS 190G,MERCEARIA DOCE
DOCE TENERE 200GR FONDANT C/CHOCOLATE,MERCEARIA DOCE
PEGADOR MASSA UNILAR NYLON PRETO CABO AMARELO,UTILIDADES DE COZINHA
OVOS LABEL MASTERCHEF CAIPIRA C/6,HORTIFRUTI
PRATO OXFORD PORC FDO 23CM BCO,UTILIDADES DE COZINHA
BALAO BIG 1und CONEXAO MULTICOR,DESCARTÁVEIS
ACUCAR MASCAVO GUIMARAES ORG 300G,MERCEARIA DOCE
CONFEITO BIBS PRETO/BRANCO PCT 40G,MERCEARIA DOCE
VINHO ESPUMANTE GUATAMBU NATURE GFA 750ML,BEBIDAS ALCOÓLICAS
OETKER MISTURA P/ BOLO ESPECIAIS 450g NEGA MALUC,MERCEARIA DOCE
GARFO ROMANA PLASTICO GRANDE C/10 CRISTAL,DESCARTÁVEIS
SABONETE LIQUIDO 250ml DOVE PUMP KARITE,HIGIENE PESSOAL
SH FRUCTIS OLEO REP 3OLEOS 400ML,CUIDADOS COM O CABELO
"VERDE VALE PALMITO INTEIROS 1,2kg",MERCEARIA SALGADA
ESCOVA CAB MARCO BONI ALMOFADA GDE SHELL LINE 8,CUIDADOS COM O CABELO
GARRAFA TERMICA EASY MOR 1L,UTILIDADES DE COZINHA
VINHO AFRICANO OBIKWA PINOTAGE 750ML,BEBIDAS ALCOÓLICAS
RUCULA HIDROHORTA UND,HORTIFRUTI
BANANA PASSA SCHMITT BJ 400G,EMPÓRIO
ESCUMADEIRA MARANA C/CABO BAQUELITE,UTILIDADES DE COZINHA
PEGADOR STARHOUSE UNIVERSAL 20CM,UTILIDADES DE COZINHA
VINHO ARGENTINO ALTA VISTA ROSE MALBEC 750ML,BEBIDAS ALCOÓLICAS
"LIMP PERF AROMA & ENCANTOS AMOR, AMOR 500ML",CUIDADOS COM A CASA
MASSINHA SUPER MASSA FORMAS - ESTRELA,BRINQUEDO
REQUEIJAO CHAPADA BALDE CREMOSO 420G,GORDUROSOS
KIT TINT TONALZ CASTING GLOS GTS/CO RT5 200ML 535C,CUIDADOS COM O CABELO
CAFE PILAO TRADICIONAL SACHET 500G,MERCEARIA DOCE
LAVA ROUPA TABLET IN PASTILHA 2EM1 300G,CUIDADOS COM A COZINHA
SANDALIA HAVAIANAS TOP MAX CINZA ACO 45/46,CALÇADO
SAND HAVAIANAS SL ORG 33/34 AREIA,CALÇADO
VINHO NAC MONTE REALE BAG 3L TINTO SUAVE,BEBIDAS ALCOÓLICAS
BANANA PASSA ORG ORGANIC 200G-PC,EMPÓRIO
ESPUMANTE AIMERY CUVEE BCO BRUT 750ML,BEBIDAS ALCOÓLICAS
JG TOALHA BUDDEMEYER LOLLIPOP 2PCS 1845,"CAMA, MESA E BANHO"
XICARA CAFE LEITE PEQ,UTILIDADES DE COZINHA
CHA MAT PEAO ERVA 500G-PC,MERCEARIA DOCE
CONDICIONADOR 1L BIOEXTRATUS TUTANO,CUIDADOS COM O CABELO
SAND (f) HAVAIANAS T MAX ST 41/42 BC/MAR,CALÇADO
CXA./SOBC.FRANGO ASSADA CARONE KG,SALGADO
COND SEDA LISO PERFEITO 350ML,CUIDADOS COM O CABELO
LEITE PO NINHO INST L400GP360G,MERCEARIA SALGADA
"GUARD PAP BOMP 50UN-PC PEQ 20X22,5",DESCARTÁVEIS
CEREAL MAT ACUC SKARCHITOS SUPERBOM 200G,MERCEARIA DOCE
"SORVETE JUNDIA MAX CHOC BRANCO POTE 1,5LT",CONGELADOS DOCES
CADERNO CD 10M 200F JANDAIA BELIEVE,PAPELARIA
FRONHA ACASA D MICROF C/2 PR 50X70,"CAMA, MESA E BANHO"
PALMITO PUPUNHA T PACO 300G LASANHA,MERCEARIA SALGADA
BISC LIANE S/LACT RECH CHOC PCT 115G,MERCEARIA DOCE
RISCHIOTO KIT POTE RET.2PCS GDE REF 321,UTILIDADES DE COZINHA
CHICLETE DISPLAY FREEGELLS GUM AZ UVA 21UN,MERCEARIA DOCE
FEIJAO PRETO 1kg KICALDO,MERCEARIA SALGADA
LIXEIRA KREA PLAST C/PEDAL 5L OTIN19,LAVANDERIA
LEITE LA SERENISSIMA DESNAT PCT 300G,MERCEARIA SALGADA
BALDE SANREMO OBA 8L,LAVANDERIA
BISC MAIZENA DUCHEN 200G,MERCEARIA DOCE
HIDRAT LOC CORPO NIVEA MILK CONJ.2. 200ML GTS DES 35ML,CUIDADOS COM O CORPO
SEM. FLOR FELTRIN VENIDIO LARANJA,JARDINAGEM
FORNO ELET ELECTROLUX 15L I 220V EOC30,ELETRO
"PUDIM OETKER ZERO 40G, CHOC/FIBRA",MERCEARIA DOCE
